timestamp_utc,open,high,low,close,volume
2026-06-26T13:30:00Z,728.95,729.66,726.86,727.86,2579437
2026-06-26T13:35:00Z,727.86,729.13,727.59,728.13,774922
2026-06-26T13:40:00Z,728.11,729.43,727.73,729.24,583008
2026-06-26T13:45:00Z,729.24,729.8,727.97,728.71,691468
2026-06-26T13:50:00Z,728.65,729.65,728.52,729.32,529081
2026-06-26T13:55:00Z,729.39,731.31,729.19,730.9,791514
2026-06-26T14:00:00Z,730.87,732.28,730.63,732.19,962854
2026-06-26T14:05:00Z,732.2,733.15,732.13,733.02,670601
2026-06-26T14:10:00Z,733.0,733.44,732.4,733.2,636854
2026-06-26T14:15:00Z,733.19,733.57,732.44,732.61,625122
2026-06-26T14:20:00Z,732.61,734.24,732.47,733.45,590355
2026-06-26T14:25:00Z,733.44,733.94,733.24,733.49,418348
2026-06-26T14:30:00Z,733.49,733.92,733.03,733.36,437501
2026-06-26T14:35:00Z,733.38,733.42,732.12,732.18,490183
2026-06-26T14:40:00Z,732.17,733.08,731.6,732.17,719234
2026-06-26T14:45:00Z,732.2,733.38,732.05,732.88,328567
2026-06-26T14:50:00Z,732.9,733.23,732.23,732.53,324677
2026-06-26T14:55:00Z,732.52,732.97,731.86,732.45,330085
2026-06-26T15:00:00Z,732.46,733.4,732.44,732.78,275083
2026-06-26T15:05:00Z,732.8,733.16,732.28,733.06,311474
2026-06-26T15:10:00Z,733.06,733.22,731.94,732.07,325345
2026-06-26T15:15:00Z,732.08,733.23,731.62,733.06,422362
2026-06-26T15:20:00Z,733.03,733.85,732.82,733.8,459844
2026-06-26T15:25:00Z,733.78,734.67,733.67,734.67,572714
2026-06-26T15:30:00Z,734.67,735.61,734.37,734.52,485293
2026-06-26T15:35:00Z,734.52,735.96,734.52,735.75,459799
2026-06-26T15:40:00Z,735.8,736.53,735.54,736.27,1067168
2026-06-26T15:45:00Z,736.26,736.46,735.54,735.57,299213
2026-06-26T15:50:00Z,735.58,736.04,734.18,734.57,702130
2026-06-26T15:55:00Z,734.55,735.87,734.38,735.4,411465
2026-06-26T16:00:00Z,735.4,735.52,735.09,735.33,307618
2026-06-26T16:05:00Z,735.32,735.4,734.12,734.25,493308
2026-06-26T16:10:00Z,734.24,734.49,733.8,734.12,298964
2026-06-26T16:15:00Z,734.13,734.63,733.78,734.0,378112
2026-06-26T16:20:00Z,734.01,734.14,732.74,733.24,683169
2026-06-26T16:25:00Z,733.24,733.64,733.11,733.42,248333
2026-06-26T16:30:00Z,733.4,734.7,733.4,734.63,399655
2026-06-26T16:35:00Z,734.64,734.78,734.22,734.39,387603
2026-06-26T16:40:00Z,734.42,734.64,733.99,734.03,282984
2026-06-26T16:45:00Z,734.05,734.39,733.85,734.35,242152
2026-06-26T16:50:00Z,734.36,734.9,734.28,734.61,308567
2026-06-26T16:55:00Z,734.6,734.6,734.25,734.47,553633
2026-06-26T17:00:00Z,734.48,735.19,734.17,734.93,1072586
2026-06-26T17:05:00Z,734.93,735.79,734.91,735.65,503894
2026-06-26T17:10:00Z,735.62,735.86,734.93,735.09,269283
2026-06-26T17:15:00Z,735.1,735.16,734.29,734.44,312733
2026-06-26T17:20:00Z,734.45,734.62,733.96,734.05,254430
2026-06-26T17:25:00Z,734.04,734.98,733.79,734.72,299790
2026-06-26T17:30:00Z,734.72,735.39,734.45,734.63,607375
2026-06-26T17:35:00Z,734.62,734.63,733.99,734.05,210745
2026-06-26T17:40:00Z,734.05,734.53,733.62,734.26,256537
2026-06-26T17:45:00Z,734.26,734.41,733.84,733.86,308354
2026-06-26T17:50:00Z,733.86,734.32,733.8,734.08,490773
2026-06-26T17:55:00Z,734.06,734.09,733.47,733.66,257240
2026-06-26T18:00:00Z,733.69,734.4,733.63,734.26,425897
2026-06-26T18:05:00Z,734.23,734.59,734.04,734.19,414628
2026-06-26T18:10:00Z,734.15,734.43,733.86,734.04,410104
2026-06-26T18:15:00Z,734.05,734.22,733.24,733.4,401311
2026-06-26T18:20:00Z,733.4,733.67,733.24,733.56,362582
2026-06-26T18:25:00Z,733.55,733.67,732.74,732.83,523588
2026-06-26T18:30:00Z,732.83,733.67,732.77,733.47,500496
2026-06-26T18:35:00Z,733.47,733.48,732.73,732.89,653782
2026-06-26T18:40:00Z,732.9,733.15,732.75,732.77,275589
2026-06-26T18:45:00Z,732.81,732.81,731.76,732.03,1343333
2026-06-26T18:50:00Z,732.03,732.12,731.61,731.79,705681
2026-06-26T18:55:00Z,731.79,732.13,731.28,731.62,642203
2026-06-26T19:00:00Z,731.63,732.1,731.43,731.46,747871
2026-06-26T19:05:00Z,731.43,732.48,731.33,732.35,584108
2026-06-26T19:10:00Z,732.34,732.8,732.01,732.79,743956
2026-06-26T19:15:00Z,732.77,732.99,732.44,732.75,904491
2026-06-26T19:20:00Z,732.75,732.89,731.78,732.27,666454
2026-06-26T19:25:00Z,732.26,732.48,732.1,732.19,457110
2026-06-26T19:30:00Z,732.2,732.87,731.76,732.67,779885
2026-06-26T19:35:00Z,732.66,732.86,732.28,732.33,923723
2026-06-26T19:40:00Z,732.33,733.35,732.31,733.27,602325
2026-06-26T19:45:00Z,733.28,733.86,732.71,733.05,1278652
2026-06-26T19:50:00Z,733.04,733.67,732.56,733.15,1508906
2026-06-26T19:55:00Z,733.13,733.6,716.58,729.08,6846621
2026-06-29T13:30:00Z,736.53,738.76,735.3,738.68,2570080
2026-06-29T13:35:00Z,738.67,738.68,736.93,738.03,804156
2026-06-29T13:40:00Z,738.01,739.25,737.44,739.24,641410
2026-06-29T13:45:00Z,739.25,739.73,738.78,738.85,956993
2026-06-29T13:50:00Z,738.85,739.9,738.35,738.9,575442
2026-06-29T13:55:00Z,738.89,739.01,736.41,736.89,891566
2026-06-29T14:00:00Z,736.87,737.07,735.88,736.05,956842
2026-06-29T14:05:00Z,736.05,736.16,734.65,735.05,781976
2026-06-29T14:10:00Z,735.08,735.33,732.7,732.7,880684
2026-06-29T14:15:00Z,732.7,733.94,732.09,733.69,1327368
2026-06-29T14:20:00Z,733.72,734.59,733.31,734.16,806300
2026-06-29T14:25:00Z,734.16,736.19,734.14,736.07,972450
2026-06-29T14:30:00Z,736.08,737.65,735.93,737.4,811881
2026-06-29T14:35:00Z,737.4,737.72,736.87,737.14,585582
2026-06-29T14:40:00Z,737.1,737.81,736.82,737.05,444038
2026-06-29T14:45:00Z,737.04,737.04,735.88,736.66,868092
2026-06-29T14:50:00Z,736.65,738.32,736.63,737.97,573435
2026-06-29T14:55:00Z,737.96,737.96,737.14,737.86,400504
2026-06-29T15:00:00Z,737.88,738.02,737.2,737.36,481912
2026-06-29T15:05:00Z,737.36,737.53,737.02,737.21,272363
2026-06-29T15:10:00Z,737.21,737.48,736.5,737.46,372214
2026-06-29T15:15:00Z,737.48,737.74,736.9,736.97,308183
2026-06-29T15:20:00Z,736.96,737.49,736.33,736.73,432927
2026-06-29T15:25:00Z,736.72,737.82,736.55,737.77,252935
2026-06-29T15:30:00Z,737.76,738.03,737.53,737.6,531255
2026-06-29T15:35:00Z,737.58,738.17,737.21,738.05,319713
2026-06-29T15:40:00Z,738.01,738.49,737.72,738.44,290035
2026-06-29T15:45:00Z,738.44,738.45,737.78,737.91,474121
2026-06-29T15:50:00Z,737.92,738.18,737.76,738.06,201728
2026-06-29T15:55:00Z,738.04,738.58,737.82,738.51,241579
2026-06-29T16:00:00Z,738.54,738.91,738.46,738.9,582153
2026-06-29T16:05:00Z,738.89,739.13,738.66,738.79,480507
2026-06-29T16:10:00Z,738.82,738.99,738.44,738.5,184103
2026-06-29T16:15:00Z,738.5,738.84,738.44,738.58,1903895
2026-06-29T16:20:00Z,738.56,738.81,738.37,738.77,192392
2026-06-29T16:25:00Z,738.76,738.85,738.26,738.33,278007
2026-06-29T16:30:00Z,738.34,738.51,737.97,738.12,245356
2026-06-29T16:35:00Z,738.12,738.45,737.99,738.45,262037
2026-06-29T16:40:00Z,738.44,738.58,738.31,738.5,149573
2026-06-29T16:45:00Z,738.51,738.62,738.19,738.46,163806
2026-06-29T16:50:00Z,738.51,738.95,738.41,738.89,255152
2026-06-29T16:55:00Z,738.88,738.89,738.62,738.68,756865
2026-06-29T17:00:00Z,738.69,739.06,738.69,739.02,156207
2026-06-29T17:05:00Z,739.02,739.37,738.96,739.26,188961
2026-06-29T17:10:00Z,739.28,740.2,739.26,739.97,554729
2026-06-29T17:15:00Z,739.98,740.3,739.87,740.08,250101
2026-06-29T17:20:00Z,740.05,740.38,739.48,739.5,443003
2026-06-29T17:25:00Z,739.5,740.18,739.46,740.14,346510
2026-06-29T17:30:00Z,740.14,740.63,739.98,740.29,280931
2026-06-29T17:35:00Z,740.3,740.42,739.98,740.32,197183
2026-06-29T17:40:00Z,740.3,740.45,740.26,740.28,136083
2026-06-29T17:45:00Z,740.29,740.56,740.1,740.49,177140
2026-06-29T17:50:00Z,740.49,740.82,740.4,740.56,179744
2026-06-29T17:55:00Z,740.55,740.68,740.17,740.41,184755
2026-06-29T18:00:00Z,740.4,740.77,740.23,740.61,290116
2026-06-29T18:05:00Z,740.61,740.76,740.44,740.52,523343
2026-06-29T18:10:00Z,740.52,740.71,740.43,740.58,709069
2026-06-29T18:15:00Z,740.57,740.62,740.36,740.42,298207
2026-06-29T18:20:00Z,740.43,740.58,740.18,740.4,263078
2026-06-29T18:25:00Z,740.41,740.41,740.12,740.22,514123
2026-06-29T18:30:00Z,740.22,740.72,740.15,740.61,309890
2026-06-29T18:35:00Z,740.63,740.95,740.55,740.79,295728
